1	1	精神利刃	14	2	70	100	20	1
2	2	大字爆炎	10	1	110	85	5	0
3	3	瞬间失忆	14	3	-1	-1	20	0
4	2	真气弹	2	1	120	70	5	0
6	1	电球	13	3	-2	100	10	0
7	3	电磁波	13	3	-1	90	20	0
8	3	高速移动	14	3	-1	-1	30	0
9	1	喷水	11	1	150	100	5	0
11	3	求雨	11	3	-1	-1	5	0
12	1	根源波动	11	1	110	85	10	0
13	2	热水	11	1	80	100	15	0
15	1	断崖之剑	5	2	120	85	10	0
16	1	地震	5	2	100	100	10	0
17	2	过热	10	1	130	90	5	0
18	1	喷火	10	1	150	100	5	0
19	3	龙之舞	16	3	-1	-1	20	0
20	1	龙之波动	16	1	85	100	10	0
21	2	暴风	3	1	110	70	10	0
22	1	食梦	14	1	100	100	15	0
23	3	催眠术	14	3	-1	60	20	0
24	2	恶之波动	17	1	80	100	15	0
25	3	诡计	17	3	-1	-1	20	0
26	2	时光咆哮	16	1	150	90	5	0
27	2	铁尾	9	2	100	75	15	0
28	3	铁壁	9	3	-1	-1	15	0
29	1	龙爪	16	2	80	100	15	0
30	1	亚空裂斩	16	1	100	95	5	1
31	2	流星群	16	1	130	90	5	0
32	3	水流环	16	3	-1	-1	20	0
33	2	青焰	10	1	130	85	5	0
34	1	交错火焰	10	1	100	100	5	0
35	2	雷击	13	2	130	85	5	0
36	1	交错闪电	13	2	100	100	5	0
37	2	月亮之力	18	1	95	100	15	0
38	3	大地掌控	18	3	-1	-1	10	0
39	1	魔法闪耀	18	1	80	100	10	0
40	1	死亡之翼	3	1	80	100	10	0
41	1	流星闪冲	9	2	100	100	5	0
42	1	铁蹄光线	9	1	140	95	5	0
43	3	宇宙力量	14	3	-1	-1	20	0
44	1	暗影之光	8	1	100	100	5	0
45	1	光子喷涌	14	1	100	100	5	0
46	2	棱镜镭射	14	1	160	100	10	0
47	1	以牙还牙	17	2	50	100	10	0
48	2	无极光束	16	1	160	90	5	0
49	2	毒击	4	2	80	100	20	0
50	2	破坏光线	1	1	150	90	5	0
51	1	制裁光砾	1	1	100	100	10	0
52	3	自我激励	1	3	-1	-1	30	0
53	3	十万伏特	13	1	90	100	15	0
54	3	打雷	13	1	110	70	10	0
